,player,last,01-05-20,01-12-20,01-19-20,01-26-20,02-02-20,02-09-20,02-16-20,02-22-20,02-23-20,03-01-20,03-08-20,06-14-20,06-21-20,06-28-20,07-05-20,07-12-20,07-19-20,07-25-20,08-09-20,08-16-20,08-23-20,08-30-20,09-07-20,09-13-20,09-20-20,09-27-20,10-04-20,10-11-20,10-18-20,10-25-20,11-01-20,11-08-20,11-15-20,11-22-20,12-06-20,01-10-21,01-17-21,01-24-21,01-30-21,02-07-21,02-14-21,02-21-21,02-27-21,02-28-21,03-07-21,03-14-21,03-21-21,03-28-21,04-04-21,04-11-21,04-18-21,05-02-21,05-09-21,05-16-21,Unnamed: 0,05-23-21,05-30-21
116,Harris English,English,,,67.0,54.0,85.0,,,,,87.0,88.0,0.0,79.0,,,,84.0,75.0,77.0,71.0,99.0,43.0,60.0,,95.0,,,0.0,88.0,65.0,,,,92.0,94.0,97.0,75.0,,0.0,0.0,,,,9.0,77.0,,,,,74.0,0.0,,70.0,91.0,63.0,57.0,
117,Derek Ernst,Ernst,,,,,,,,54.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
118,Julián Etulain,Etulain,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Matt Every,Every,,0.0,52.0,,0.0,78.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,,25.0,,,,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,
120,Sam Fidone,Fidone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,66.0,,,,,,,,
121,Edward Figueroa,Figueroa,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,
122,Tony Finau,Finau,,,90.0,95.0,99.0,,56.0,,,,0.0,67.0,57.0,0.0,26.0,,91.0,97.0,96.0,,0.0,94.0,57.0,,89.0,,,,,87.0,,66.0,38.0,,90.0,23.0,,96.0,97.0,,,99.0,,81.0,,0.0,,,0.0,88.0,,,0.0,,8.0,92.0,79.0
123,Zack Fischer,Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Matthew Fitzpatrick,Fitzpatrick,,,,,,61.0,72.0,,46.0,,88.0,54.0,83.0,0.0,,61.0,97.0,,0.0,,0.0,93.0,,,0.0,,,,86.0,68.0,,,25.0,0.0,,,,,,,,95.0,,84.0,89.0,92.0,,,,60.0,96.0,,,0.0,,,
125,Angus Flanagan,Flanagan,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
126,Patrick Flavin,Flavin,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Tommy Fleetwood,Fleetwood,,,,,,,,,73.0,98.0,0.0,,,,,,,0.0,65.0,25.0,39.0,,,,0.0,,,,25.0,27.0,,,70.0,45.0,,,,,,,,,,37.0,89.0,0.0,,,,47.0,0.0,,90.0,,96.0,0.0,
128,Rickie Fowler,Fowler,85.0,,92.0,0.0,71.0,,,,,0.0,75.0,0.0,0.0,,84.0,69.0,0.0,,0.0,,31.0,,,,21.0,,,0.0,65.0,27.0,,,53.0,,0.0,,,72.0,64.0,0.0,0.0,81.0,,,41.0,0.0,54.0,,86.0,,,,0.0,0.0,9.0,92.0,
129,Ryan Fox,Fox,,,,,,,,,55.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Carlos Franco,Franco,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
131,Dylan Frittelli,Frittelli,10.0,0.0,,52.0,51.0,,0.0,,,59.0,75.0,0.0,91.0,0.0,,0.0,72.0,75.0,59.0,75.0,0.0,54.0,,,,,0.0,50.0,12.0,87.0,,0.0,93.0,0.0,,,,,64.0,0.0,,0.0,,,0.0,84.0,0.0,,,0.0,58.0,,,,103.0,0.0,0.0
132,David Frost,Frost,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Fred Funk,Funk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Taylor Funk,Funk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Jim Furyk,Furyk,,,,,,0.0,0.0,,,0.0,,28.0,0.0,22.0,,0.0,36.0,,0.0,0.0,,,,38.0,,,,,,,,,,,,,64.0,,,,85.0,76.0,,,,,0.0,,0.0,,0.0,,,,,,
136,Tommy Gainey,Gainey,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,0.0,,,,,,,,,,,,47.0,,,,,,,,,,,,,,
137,Abel Gallegos,Gallegos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
138,Robert Gamez,Gamez,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
139,Joey Garber,Garber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
140,Sergio Garcia,Garcia,,,,,,,67.0,,46.0,,,0.0,95.0,54.0,,,58.0,,0.0,16.0,,,,0.0,0.0,,100.0,36.0,74.0,,,0.0,,,,73.0,64.0,,,,,0.0,,54.0,,92.0,,,,0.0,0.0,,,0.0,81.0,0.0,79.0
141,Brice Garnett,Garnett,,0.0,0.0,,60.0,0.0,,81.0,,90.0,,0.0,79.0,0.0,,0.0,,63.0,,0.0,0.0,,,10.0,,19.0,0.0,24.0,,,71.0,28.0,,0.0,56.0,,75.0,0.0,,0.0,0.0,,96.0,,,0.0,81.0,92.0,0.0,,60.0,,0.0,67.0,172.0,,53.0
142,Robert Garrigus,Garrigus,,,,,,0.0,,0.0,,,,,,,,,,24.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
143,Brian Gay,Gay,,0.0,0.0,,0.0,72.0,0.0,,,0.0,12.0,0.0,0.0,0.0,0.0,61.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,100.0,,,,,30.0,50.0,0.0,,0.0,77.0,50.0,,,0.0,0.0,66.0,,0.0,0.0,0.0,0.0,,,80.0,48.0,0.0
144,Michael Gellerman,Gellerman,,71.0,0.0,0.0,,0.0,,51.0,,,,,,,37.0,,,34.0,,0.0,,,,0.0,,0.0,,,,,0.0,,,,4.0,,0.0,0.0,0.0,,0.0,,54.0,,,,,0.0,,,,,,58.0,,,
145,Domenico Geminiani,Geminiani,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Doug Ghim,Ghim,,0.0,0.0,0.0,,0.0,,81.0,,0.0,,0.0,,,0.0,,,75.0,,0.0,,,,82.0,,0.0,67.0,,,,81.0,,,74.0,37.0,,0.0,94.0,75.0,,85.0,0.0,,,68.0,79.0,0.0,,66.0,,73.0,0.0,,0.0,159.0,,86.0
147,Judd Gibb,Gibb,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Rhein Gibson,Gibson,,59.0,0.0,55.0,,0.0,,74.0,,,,,,,37.0,,,0.0,,0.0,,,,1.0,,73.0,,,,,0.0,,,0.0,0.0,,0.0,45.0,64.0,,0.0,,0.0,,,,0.0,51.0,0.0,,,0.0,,0.0,,,
149,Thomas Gibson,Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
150,Derek Gillespie,Gillespie,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Parker Gilliam,Gilliam,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Michael Gligic,Gligic,,0.0,84.0,0.0,,63.0,,0.0,,0.0,,,0.0,,0.0,,,63.0,,25.0,,,,82.0,,0.0,45.0,61.0,,,85.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,51.0,,,,0.0,96.0,0.0,,0.0,78.0,60.0,67.0,208.0,,0.0
153,Lucas Glover,Glover,,,0.0,67.0,,66.0,,,14.0,0.0,0.0,67.0,73.0,72.0,71.0,,50.0,0.0,0.0,0.0,0.0,,,12.0,74.0,,0.0,,,,,0.0,0.0,66.0,94.0,,,0.0,71.0,54.0,,0.0,67.0,,46.0,67.0,85.0,,97.0,,73.0,67.0,0.0,,157.0,,91.0
154,Matt Gogel,Gogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
155,Fabián Gómez,Gómez,,0.0,63.0,0.0,,0.0,,54.0,,55.0,,,,0.0,59.0,0.0,,0.0,,0.0,,,,0.0,,46.0,0.0,0.0,,,0.0,54.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,86.0,,,,,55.0,,,,,,0.0,,,
156,Andres Gonzales,Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
157,Talor Gooch,Gooch,,56.0,88.0,74.0,53.0,,91.0,,,72.0,83.0,37.0,0.0,0.0,0.0,76.0,0.0,75.0,0.0,69.0,76.0,7.0,,0.0,,,45.0,0.0,95.0,56.0,,96.0,,0.0,,,0.0,72.0,68.0,0.0,,89.0,,,63.0,96.0,66.0,,,,,0.0,80.0,73.0,45.0,70.0,86.0
158,Retief Goosen,Goosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,
159,William Gordon,Gordon,,0.0,,84.0,,,,81.0,,,,,,97.0,0.0,,,0.0,,66.0,,,,,,,,,,,,,,,,,,,71.0,0.0,85.0,,79.0,,57.0,,,71.0,46.0,,0.0,,0.0,0.0,209.0,,0.0
160,Will Gordon,Gordon,,,,,,,,,,,,,,,,,,,,,,,,18.0,,0.0,21.0,0.0,,,51.0,46.0,,0.0,0.0,,0.0,11.0,,,,,,,,,72.0,,,,,,,,,,
161,Paul Goydos,Goydos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
162,Luke Graboyes,Graboyes,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Branden Grace,Grace,,,,,91.0,0.0,0.0,,38.0,,,73.0,20.0,0.0,0.0,,0.0,0.0,,0.0,,,,62.0,0.0,0.0,0.0,,,,43.0,0.0,,55.0,45.0,,0.0,,,,77.0,81.0,99.0,,77.0,0.0,,,82.0,,67.0,65.0,,,38.0,74.0,0.0
164,Lanto Griffin,Griffin,63.0,95.0,,0.0,0.0,94.0,67.0,,55.0,,49.0,0.0,0.0,66.0,71.0,0.0,42.0,,77.0,,19.0,87.0,47.0,,31.0,,,0.0,92.0,87.0,,16.0,0.0,,,66.0,70.0,0.0,95.0,,,76.0,,66.0,81.0,75.0,,,73.0,0.0,,0.0,80.0,,104.0,0.0,
165,Emiliano Grillo,Grillo,,83.0,,0.0,0.0,,0.0,97.0,,0.0,0.0,0.0,0.0,13.0,46.0,0.0,0.0,97.0,18.0,,39.0,,,62.0,,73.0,48.0,50.0,,,51.0,0.0,,74.0,90.0,,64.0,49.0,0.0,81.0,,0.0,91.0,,81.0,0.0,,95.0,,,98.0,0.0,90.0,,39.0,74.0,91.0
166,Patrick Grimes,Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
167,Juan Jose Guerra,Guerra,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
168,Jordan Gumberg,Gumberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Bill Haas,Haas,,,0.0,52.0,,0.0,,74.0,,,,0.0,37.0,,0.0,,,16.0,,0.0,,,,0.0,,0.0,48.0,,,,0.0,,,,,,0.0,0.0,71.0,,0.0,,76.0,,,,,0.0,,,0.0,,0.0,0.0,,,
170,Chesson Hadley,Hadley,,0.0,79.0,0.0,55.0,86.0,,0.0,,0.0,,67.0,24.0,,0.0,24.0,,0.0,,35.0,,,,82.0,18.0,,0.0,0.0,,,78.0,,,66.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,89.0,82.0,,0.0,0.0,0.0,0.0,,,
171,Adam Hadwin,Hadwin,,,,,68.0,0.0,77.0,,,,,37.0,47.0,,96.0,49.0,28.0,,28.0,,0.0,43.0,,,13.0,,,50.0,65.0,19.0,,,0.0,0.0,0.0,,,56.0,85.0,61.0,,76.0,,,0.0,79.0,93.0,,82.0,,0.0,0.0,0.0,,64.0,57.0,91.0
172,Brandon Hagy,Hagy,,0.0,67.0,0.0,85.0,0.0,,45.0,,84.0,,,,,46.0,,,34.0,,0.0,,,,10.0,,0.0,0.0,,,,0.0,,,0.0,45.0,,0.0,72.0,71.0,,0.0,,0.0,,,,98.0,0.0,86.0,,0.0,61.0,80.0,,133.0,0.0,0.0
173,James Hahn,Hahn,,0.0,0.0,,78.0,0.0,88.0,,,,,,,0.0,0.0,0.0,,,,,,,,89.0,,93.0,,94.0,,,,28.0,,0.0,,,70.0,56.0,0.0,92.0,0.0,86.0,,,,71.0,0.0,,,,,0.0,0.0,0.0,194.0,,0.0
174,Jordan Hahn,Hahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
175,Harry Hall,Hall,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,
176,Gavin Hall,Hall,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Kevin Hall,Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
178,Jeongwoo Ham,Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Cole Hammer,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
180,Justin Harding,Harding,,,,,,,,,55.0,,,,,,,,,,,,,,,,0.0,,,,,,,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
181,Nick Hardy,Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,65.0,,,,,,,,,,,,,,,,,
182,Brian Harman,Harman,,76.0,84.0,,62.0,,60.0,,,65.0,0.0,67.0,64.0,0.0,0.0,,0.0,41.0,28.0,66.0,86.0,84.0,,,39.0,,45.0,82.0,65.0,68.0,,66.0,,0.0,59.0,,59.0,90.0,,71.0,73.0,61.0,,,,98.0,,,,84.0,89.0,,86.0,,82.0,0.0,91.0
183,Padraig Harrington,Harrington,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,63.0,54.0,,,,,,,,0.0,,0.0,54.0,,73.0,,0.0,55.0,51.0,,,,,0.0,4.0,96.0,
184,Scott Harrington,Harrington,,59.0,0.0,0.0,0.0,0.0,,,,0.0,33.0,0.0,,0.0,46.0,0.0,47.0,0.0,,0.0,9.0,,,52.0,,82.0,0.0,0.0,,,0.0,4.0,,0.0,0.0,,,0.0,0.0,0.0,58.0,76.0,,,,59.0,62.0,51.0,0.0,,67.0,0.0,0.0,0.0,,,
185,Jeff Hart,Hart,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Tyrrell Hatton,Hatton,,,,,,,,,90.0,,100.0,,97.0,,96.0,,,,0.0,,66.0,78.0,87.0,,0.0,,,,97.0,65.0,,91.0,0.0,66.0,,,,,,,,,,66.0,81.0,0.0,,,,78.0,70.0,,,,40.0,74.0,
187,David Hearn,Hearn,,0.0,75.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,82.0,,57.0,0.0,,,,90.0,0.0,,0.0,,,0.0,11.0,0.0,,0.0,,0.0,,,,0.0,89.0,0.0,,,0.0,0.0,0.0,,,
188,Benjamin Hebert,Hebert,,,,,,,,,73.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Michael Hebert,Hebert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
190,Scott Hend,Hend,,,,,,,,,10.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Russell Henley,Henley,,0.0,0.0,,0.0,,84.0,,,94.0,,,0.0,54.0,,91.0,,0.0,54.0,90.0,90.0,65.0,,,,,,61.0,97.0,96.0,,59.0,,55.0,0.0,,92.0,0.0,,75.0,,67.0,,,,0.0,96.0,,,,92.0,0.0,52.0,,70.0,53.0,
192,J.J. Henry,Henry,,,,,,0.0,,48.0,,,,0.0,,0.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,186.0,,39.0
193,Mark Hensby,Hensby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
194,Lucas Herbert,Herbert,,,,,,,,,18.0,,,,,,,,,,0.0,,,,,,51.0,,,,,,,,,,,,,,,,,,,3.0,,,66.0,0.0,,,,,0.0,,71.0,53.0,
195,Jim Herman,Herman,20.0,0.0,,0.0,,63.0,0.0,,,0.0,0.0,0.0,57.0,,,0.0,0.0,,4.0,100.0,0.0,43.0,,,0.0,,0.0,,17.0,36.0,,,,55.0,,,75.0,0.0,,,0.0,0.0,,,0.0,0.0,62.0,,,40.0,0.0,0.0,,,110.0,0.0,
196,Tim Herron,Herron,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
197,Kramer Hickok,Hickok,,66.0,0.0,0.0,,0.0,,0.0,,84.0,,0.0,,,0.0,,,16.0,,35.0,,,,0.0,,73.0,0.0,,,,90.0,16.0,,,,,85.0,72.0,0.0,,0.0,,0.0,,0.0,62.0,,,0.0,,,63.0,66.0,0.0,160.0,,86.0
198,Kazuki Higa,Higa,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Harry Higgs,Higgs,,59.0,0.0,92.0,78.0,86.0,,,,59.0,41.0,45.0,32.0,0.0,1.0,0.0,0.0,0.0,,0.0,86.0,20.0,,99.0,,,,0.0,74.0,31.0,,,,0.0,0.0,,75.0,,57.0,0.0,0.0,0.0,,,,79.0,85.0,,0.0,,55.0,,0.0,0.0,5.0,96.0,0.0
200,Bo Hoag,Hoag,,93.0,0.0,0.0,,0.0,,67.0,,0.0,,,,0.0,0.0,0.0,18.0,84.0,,47.0,0.0,,,62.0,,0.0,0.0,0.0,,,0.0,0.0,,55.0,69.0,,0.0,79.0,85.0,71.0,0.0,71.0,,,77.0,0.0,0.0,,0.0,,0.0,0.0,0.0,58.0,,,
201,Craig Hocknull,Hocknull,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Lee Hodges,Hodges,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,90.0,,,,,51.0,,,,,,,,,
203,Richard Hoey,Hoey,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Charley Hoffman,Hoffman,,0.0,60.0,92.0,68.0,0.0,0.0,,,,83.0,0.0,0.0,41.0,,91.0,,0.0,,0.0,83.0,,,25.0,,82.0,92.0,0.0,,,0.0,59.0,,66.0,37.0,,89.0,0.0,0.0,0.0,94.0,55.0,,,89.0,88.0,,71.0,98.0,,84.0,88.0,,,18.0,87.0,96.0
205,Kyle Hogan,Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
206,Tom Hoge,Hoge,,89.0,95.0,97.0,78.0,61.0,,,,0.0,80.0,0.0,0.0,47.0,0.0,0.0,0.0,34.0,28.0,66.0,0.0,7.0,,62.0,,,59.0,65.0,52.0,40.0,,0.0,,0.0,97.0,,0.0,0.0,0.0,0.0,92.0,55.0,,,0.0,84.0,0.0,,91.0,,79.0,0.0,0.0,0.0,66.0,57.0,0.0
207,Rasmus Hojgaard,Hojgaard,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,47.0,,,,,,,,,,,,,7.0,,,,,,,,0.0,,,78.0,49.0,
208,J.B. Holmes,Holmes,13.0,,,88.0,85.0,90.0,56.0,,,,,,,,,0.0,,,,,,,,38.0,,,3.0,0.0,,,,,,,,,,,0.0,0.0,0.0,52.0,,,,,66.0,0.0,0.0,,,56.0,0.0,0.0,,,
209,Ian Holt,Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
210,Max Homa,Homa,26.0,,67.0,92.0,95.0,90.0,94.0,,,,67.0,0.0,47.0,0.0,,0.0,0.0,97.0,0.0,,0.0,16.0,,,0.0,,,0.0,,,51.0,31.0,0.0,,85.0,,,72.0,85.0,65.0,94.0,99.0,,66.0,89.0,0.0,,,,0.0,,96.0,0.0,,118.0,0.0,
211,Tae Hoon Kim,Hoon Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
212,Mikumu Horikawa,Horikawa,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Billy Horschel,Horschel,,,0.0,56.0,91.0,,,,87.0,69.0,49.0,45.0,0.0,0.0,,91.0,84.0,,47.0,99.0,0.0,54.0,3.0,,39.0,,,,65.0,12.0,,,38.0,,94.0,39.0,94.0,,0.0,59.0,,,,96.0,0.0,62.0,,,,43.0,79.0,,,,28.0,83.0,65.0
214,Sam Horsfield,Horsfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,49.0,67.0,
215,Rikuya Hoshino,Hoshino,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,138.0,0.0,
216,Beau Hossler,Hossler,,,0.0,92.0,50.0,72.0,,67.0,,72.0,67.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,31.0,,,70.0,,46.0,15.0,50.0,,,63.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,69.0,,0.0,,,0.0,57.0,0.0,51.0,,0.0,72.0,50.0,0.0,,,
217,Viktor Hovland,Hovland,,,,,0.0,72.0,,99.0,,0.0,41.0,67.0,73.0,85.0,84.0,97.0,36.0,,59.0,,76.0,43.0,57.0,,80.0,,,,86.0,40.0,,79.0,,,100.0,23.0,,,97.0,,,95.0,,96.0,57.0,0.0,,,,74.0,,98.0,98.0,,31.0,78.0,
218,Charles Howell III,Howell III,,89.0,0.0,,,,50.0,,24.0,,0.0,28.0,0.0,,,0.0,36.0,97.0,,0.0,39.0,32.0,,,52.0,0.0,,50.0,,,,,25.0,55.0,69.0,,85.0,0.0,0.0,,,0.0,,,68.0,92.0,,77.0,0.0,,84.0,72.0,,63.0,,,
219,Mark Hubbard,Hubbard,,0.0,71.0,,91.0,0.0,,,,90.0,0.0,37.0,57.0,47.0,84.0,0.0,4.0,,37.0,82.0,60.0,28.0,,0.0,0.0,,0.0,0.0,79.0,48.0,,28.0,,0.0,18.0,,75.0,0.0,,75.0,64.0,0.0,,,63.0,0.0,66.0,,,,0.0,0.0,0.0,77.0,182.0,,42.0
220,Mackenzie Hughes,Hughes,,0.0,0.0,0.0,0.0,0.0,,,,98.0,,0.0,8.0,97.0,,30.0,93.0,,28.0,,83.0,87.0,80.0,,0.0,97.0,,,17.0,48.0,,91.0,,0.0,,2.0,85.0,,0.0,,,71.0,,37.0,,0.0,72.0,,,52.0,60.0,0.0,0.0,,83.0,0.0,0.0
221,John Huh,Huh,,,67.0,70.0,68.0,,,,,0.0,,,,,,,,,,,,,,,,,,73.0,,,,31.0,,83.0,73.0,,,72.0,57.0,0.0,,,,,48.0,,85.0,,51.0,,,0.0,0.0,0.0,,,
222,In-hoi Hur,Hur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
223,Keenan Huskey,Huskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
224,Tomoyo Ikemura,Ikemura,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Sungjae Im,Im,,83.0,92.0,74.0,73.0,,0.0,,55.0,99.0,97.0,87.0,0.0,16.0,26.0,7.0,0.0,,0.0,90.0,0.0,20.0,63.0,,66.0,,59.0,82.0,43.0,48.0,,28.0,98.0,0.0,,88.0,59.0,85.0,78.0,85.0,,,,59.0,81.0,88.0,93.0,,,0.0,89.0,78.0,0.0,,19.0,87.0,0.0
226,Shugo Imahira,Imahira,,0.0,,,,,,,14.0,,,,,,,,,,,,,,,,2.0,,,,,16.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,
227,Yuki Inamori,Inamori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,
228,Ryo Ishikawa,Ishikawa,,,,,,,,,6.0,0.0,,,,,,,,,0.0,,,,,,18.0,,,,,19.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,
229,Isaiah Jackson,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Freddie Jacobson,Jacobson,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Stephan Jaeger,Jaeger,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,54.0,,,,,62.0,,,,,,,,,
232,Jazz Janewattananond,Janewattananond,,,,,,,,,24.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,23.0,,,17.0,,,,,,,,,,,,52.0,,,,,,,,,,134.0,0.0,
233,Marty Jertson,Jertson,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Miguel Angel Jiménez,Jimenez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
