,player,last,01-05-20,01-12-20,01-19-20,01-26-20,02-02-20,02-09-20,02-16-20,02-22-20,02-23-20,03-01-20,03-08-20,06-14-20,06-21-20,06-28-20,07-05-20,07-12-20,07-19-20,07-25-20,08-09-20,08-16-20,08-23-20,08-30-20,09-07-20,09-13-20,09-20-20,09-27-20,10-04-20,10-11-20,10-18-20,10-25-20,11-01-20,11-08-20,11-15-20,11-22-20,12-06-20,01-10-21,01-17-21,01-24-21,01-30-21,02-07-21,02-14-21,02-21-21,02-27-21,02-28-21,03-07-21,03-14-21,03-21-21,03-28-21,04-04-21,04-11-21,04-18-21,05-02-21,05-09-21,05-16-21,Unnamed: 0,05-23-21,05-30-21
28,Justin Bertsch,Bertsch,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Shane Bertsch,Bertsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
30,Christiaan Bezuidenhout,Bezuidenhout,,,,,,,,,55.0,,75.0,0.0,64.0,,0.0,,72.0,,0.0,53.0,,,,,11.0,,,,,,,,38.0,,,,,,,,,,,54.0,94.0,71.0,,,,52.0,73.0,,,,29.0,78.0,
31,Akshay Bhatia,Bhatia,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,89.0,,0.0,,,,,,,,,28.0,,,0.0,,,80.0,,,,,,,,0.0,,,,0.0,,,,
32,Lucas Bjerregaard,Bjerregaard,,,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Zac Blair,Blair,,56.0,63.0,84.0,,86.0,,0.0,,0.0,49.0,19.0,,0.0,20.0,0.0,0.0,,,0.0,0.0,,,0.0,,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ryan Blaum,Blaum,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,30.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,58.0,,,,,0.0,,,,,,0.0,,,
35,Jonas Blixt,Blixt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,57.0,0.0,,,
36,Michael Block,Block,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
37,Jason Bohn,Bohn,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,
38,Matthew Borchert,Borchert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Dominic Bozzelli,Bozzelli,,,0.0,49.0,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,26.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,
40,Keegan Bradley,Bradley,,89.0,,88.0,62.0,,0.0,,,0.0,41.0,54.0,,0.0,37.0,43.0,9.0,,0.0,,60.0,,,0.0,0.0,,95.0,0.0,47.0,,,0.0,,78.0,56.0,,0.0,0.0,,81.0,,50.0,,,89.0,79.0,78.0,,82.0,,,98.0,86.0,,16.0,87.0,
41,Joseph Bramlett,Bramlett,,66.0,0.0,70.0,,86.0,56.0,91.0,,0.0,,,,41.0,0.0,0.0,,0.0,,0.0,,,,0.0,,46.0,35.0,36.0,,,35.0,,,0.0,0.0,,,0.0,85.0,,59.0,,62.0,,,,0.0,89.0,73.0,,,58.0,0.0,95.0,201.0,,0.0
42,Ryan Brehm,Brehm,,0.0,63.0,67.0,,56.0,,67.0,,,,,,,0.0,,,0.0,,61.0,,,,0.0,,57.0,,,,,63.0,,,5.0,18.0,,,,0.0,,0.0,,91.0,,,,,71.0,0.0,,,0.0,0.0,0.0,,,
43,Scott Brown,Brown,,0.0,0.0,0.0,,0.0,97.0,43.0,,0.0,20.0,0.0,0.0,6.0,0.0,,,0.0,,47.0,0.0,,,0.0,,26.0,0.0,0.0,,,,66.0,,0.0,,,64.0,0.0,0.0,0.0,80.0,,58.0,,,59.0,0.0,66.0,0.0,,0.0,72.0,0.0,77.0,188.0,,0.0
44,Olin Browne,Browne,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Wesley Bryan,Bryan,,,,,,,,,,,,,11.0,66.0,71.0,,,,,61.0,,,,0.0,,,83.0,,,,0.0,,,,0.0,,75.0,,,,,61.0,,,,,0.0,,0.0,,79.0,67.0,,81.0,,,
46,Hayden Buckley,Buckley,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bronson Burgoon,Burgoon,,,71.0,0.0,,,0.0,,,0.0,,45.0,0.0,0.0,0.0,10.0,,41.0,,0.0,,,,,,,0.0,14.0,,,0.0,0.0,,78.0,0.0,,0.0,49.0,71.0,,69.0,,67.0,,,,53.0,77.0,0.0,,,90.0,0.0,91.0,,,
48,Sam Burns,Burns,,0.0,95.0,67.0,0.0,,80.0,,,55.0,49.0,,0.0,66.0,59.0,76.0,,54.0,,84.0,0.0,,,92.0,,64.0,0.0,50.0,,,,91.0,,,,,,0.0,85.0,81.0,73.0,97.0,,,0.0,0.0,,,0.0,,70.0,99.0,,98.0,,,
49,Byeong Hun An,Byeong Hun,,,0.0,56.0,91.0,,,,55.0,96.0,20.0,12.0,0.0,34.0,,0.0,0.0,,73.0,,0.0,84.0,,,0.0,,0.0,0.0,47.0,56.0,,,0.0,,0.0,,,90.0,51.0,59.0,,,72.0,,63.0,0.0,0.0,,0.0,,0.0,57.0,0.0,,48.0,67.0,57.0
50,Jonathan Byrd,Byrd,,,,,,0.0,,0.0,,,,,,,84.0,0.0,,0.0,,,,,,18.0,,64.0,0.0,,,,24.0,,,0.0,,,,,,,0.0,,67.0,,,,,51.0,,,,,,0.0,,,
51,Rafa Cabrera Bello,Cabrera Bello,,,,,,0.0,84.0,,77.0,,0.0,67.0,0.0,47.0,0.0,,0.0,54.0,0.0,53.0,,,,0.0,64.0,,32.0,0.0,,,0.0,,17.0,18.0,0.0,,,,,,0.0,,,18.0,,,0.0,0.0,66.0,,,0.0,0.0,85.0,164.0,,71.0
52,Chad Campbell,Campbell,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jorge Campillo,Campillo,,,,,,,,,7.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Rafael Campos,Campos,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,28.0,,0.0,0.0,0.0,,0.0,,97.0,,,,0.0,98.0,73.0,,0.0,0.0,0.0,0.0,,,
55,Will Cannon,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,
56,Laurie Canter,Canter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
57,Patrick Cantlay,Cantlay,89.0,,,,,92.0,84.0,,,,,,,85.0,,91.0,58.0,,47.0,,0.0,84.0,,,31.0,,,89.0,52.0,100.0,,,73.0,,,66.0,,99.0,,,98.0,86.0,,,,0.0,,,,0.0,0.0,,0.0,,26.0,83.0,
58,Sebastian Cappelen,Cappelen,,,95.0,84.0,0.0,0.0,,51.0,,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,86.0,0.0,,,,,,,14.0,0.0,,,11.0,0.0,,64.0,,0.0,,,,0.0,71.0,56.0,,,0.0,0.0,0.0,,,
